clip_id,classes,n_shapes,std_mean_abs_torque_normalized,std_mean_power_mass_normalized,std_normalized_jerk
M002632,running;standing,128,0.00015055217312219361,0.1968512348580388,158.73162757699788
M002666,standing,128,0.00020561479732300478,0.23625829069185192,435.4452950834027
M002947,walking,128,0.00016760858586046203,0.19092794948764324,338.7783546495612
M003197,sitting,128,0.00038454920545428074,0.44559053572242824,1259.4667631559284
M003262,other,128,0.00027106968687243336,0.21597620950297097,461.9913445156764
M003281,other,128,0.00018021656267074913,0.1799048635804691,208.80782980712883
M003399,other,128,0.0001491016998622451,0.16287008843163217,191.28397908750668
M003804,jumping,128,0.00014161982104578247,0.18946939232296814,183.20074428345265
M003872,walking,128,0.00017043912125733462,0.22409518926035152,331.2973758020424
M003925,walking;running,128,0.00018308056380146972,0.23887768871700824,277.0508981123862
M003998,kicking;dancing,128,0.00020960527088328227,0.3510737818376524,447.3629698756778
M004395,standing,128,0.0002084906491968401,0.18288020725423706,136.30374260731068
M004501,standing,128,0.00015904835741748774,0.18032137814708332,71.47256329480831
M004878,standing,128,0.00017726357209954792,0.19230103187756806,227.1070967398755
M005123,walking,128,0.00018822867825132988,0.19931358252464365,327.8085278338917
M005365,other,128,0.00019190918776902693,0.16605824347734188,51.81794522126274
M005489,walking;standing,128,0.00019582090199043886,0.21917155168110564,340.9674160094655
M005754,other,128,0.0001964428160691762,0.19048924122311187,429.0425403816746
M006156,walking,128,0.00022238046788058857,0.28019895809012557,514.1158345772816
M006362,walking,128,0.00021949517246083725,0.2639028514408474,538.2529398258478
M006545,walking,128,0.0002357214820263784,0.43742752316069866,384.02466866763615
M006613,other,128,0.00016873131251835417,0.18030377878307097,271.44275674931725
M006628,other,128,0.00014728505995680483,0.17819785549071812,101.36620819502787
M007469,walking;running,128,0.00016851040423964094,0.18621394911140324,241.96212470319202
M007601,dancing,128,0.00016338930501420213,0.19934002527145445,359.78508688951746
M007634,walking,128,0.00021712283458406986,0.3013126173866874,545.2056487461289
M007656,sitting;standing,128,0.0002146803267617094,0.23317909802054032,495.2799814268651
M007861,walking,128,0.00015969443819980217,0.18852830868201534,352.5539809529687
M007881,walking,128,0.00020055437843526344,0.22063302464829435,381.89998923930915
M007973,walking,128,0.0002409318699370571,0.43151698206783745,386.21741332470435
M008124,kicking,128,0.00020929101162079787,0.22811143375726142,275.5064945240381
M008156,jumping;standing,128,0.0001433786752816197,0.15195749085693605,225.5317849203518
M008265,kicking,128,0.00016743427068420446,0.20296742312865726,208.12999734916414
M008918,other,128,0.00012182479365651146,0.15341226253495996,162.7581190983437
M008929,walking;standing,128,0.0002452214181050244,0.37511360218711287,469.25700709798974
M008973,walking,128,0.00019881934009087246,0.22514009755095876,366.47954347635414
M009021,jumping,128,0.00012546193456735902,0.16155451390933342,127.9432614386778
M009226,standing,128,0.00017877737161825667,0.23656876098581503,98.82032324905225
M009489,walking,128,0.00018468291182681908,0.215021765890294,305.0961450613582
M009624,other,128,0.00014653142403911793,0.1579722059659528,65.05443415196876
M009670,walking,128,0.00018748087615391641,0.2564762519829175,329.07568082885285
M009984,other,128,0.00023767316589693612,0.21147564450687825,202.4941114282381
M010075,other,128,0.0001759845506219948,0.21022330096019118,129.98408757864868
M010197,walking;running,128,0.00018737227992194738,0.2235643525155851,266.41519745927894
M010275,walking,128,0.0002306282751195623,0.2924883697452189,468.1185207008197
M010318,walking;running,128,0.0002223762985685673,0.42795072238313275,345.20208724851875
M010325,walking,128,0.00022271762823257248,0.31177093101691805,626.1502382351083
M011029,other,128,0.00018543153783801223,0.1623540942065011,54.51059313591769
M011241,walking,128,0.00021122159472326701,0.31278942574146046,459.0782924169002
M011758,standing,128,0.0002589504523483897,0.2920962510592754,218.38739322043662
M011957,other,128,0.0001553769870824738,0.191641378063086,135.37306839356395
M012386,standing,128,0.0002675905813481595,0.2039349513838894,176.6948990853281
M012443,standing,128,0.00018414679881724328,0.1755528577352803,362.9703152721472
M012597,walking,128,0.00021445707265318749,0.27903075940533056,317.27441791053485
M012599,running;jumping,128,0.00021208958884923057,0.20520027168310986,346.1249729013242
