clip_id,asset_id,motion_id,episode_len_steps,success,terminated,max_gt_error,mean_gt_error,mean_gr_error
001803,female_0d2e4580,2529,198,1,0,0.09158282727003098,0.06727898120880127,0.16990701854228973
001850,female_0d2e4580,2561,198,1,0,0.11002367734909058,0.08001250773668289,0.15854813158512115
001904,female_0d2e4580,2593,198,1,0,0.1632247269153595,0.10323028266429901,0.1885135918855667
001911,female_0d2e4580,2625,198,1,0,0.14759591221809387,0.10303499549627304,0.1766069382429123
001946,female_0d2e4580,2657,198,1,0,0.1832514852285385,0.1148805245757103,0.19397689402103424
001974,female_0d2e4580,2689,198,1,0,0.08724569529294968,0.0654856339097023,0.14520221948623657
002015,female_0d2e4580,2721,198,1,0,0.07576566189527512,0.060191404074430466,0.1774020791053772
002033,female_0d2e4580,2753,198,1,0,0.19852855801582336,0.10505117475986481,0.11470406502485275
002041,female_0d2e4580,2785,198,1,0,0.12820157408714294,0.08749942481517792,0.12064569443464279
002061,female_0d2e4580,2817,198,1,0,0.09664483368396759,0.061214812099933624,0.1322898417711258
002087,female_0d2e4580,2849,198,1,0,0.1885356605052948,0.10293465107679367,0.13810953497886658
002117,female_0d2e4580,2881,198,1,0,0.11266404390335083,0.09654895961284637,0.19274389743804932
002143,female_0d2e4580,2913,198,1,0,0.1902749240398407,0.07923155277967453,0.14191162586212158
002156,female_0d2e4580,2945,198,1,0,0.10675518959760666,0.07087413221597672,0.15289676189422607
002157,female_0d2e4580,2977,198,1,0,0.07335115969181061,0.06203887611627579,0.12912434339523315
002256,female_0d2e4580,3009,198,1,0,0.21908073127269745,0.09765062481164932,0.1531665176153183
002260,female_0d2e4580,3041,198,1,0,0.11499272286891937,0.07390660047531128,0.13649775087833405
002281,female_0d2e4580,3073,198,1,0,0.08169978857040405,0.05910160392522812,0.1415613293647766
002285,female_0d2e4580,3105,198,1,0,0.07392227649688721,0.06921371817588806,0.16476361453533173
002307,female_0d2e4580,3137,198,1,0,0.16414958238601685,0.08040247112512589,0.1511077880859375
002311,female_0d2e4580,3169,198,1,0,0.08461622893810272,0.06705663353204727,0.15123869478702545
002332,female_0d2e4580,3201,198,1,0,0.19477951526641846,0.10844246298074722,0.16205893456935883
002355,female_0d2e4580,3233,198,1,0,0.1639995276927948,0.09825301170349121,0.18743661046028137
002372,female_0d2e4580,3265,198,1,0,0.15033134818077087,0.08361358195543289,0.17562730610370636
002373,female_0d2e4580,3297,198,1,0,0.13022136688232422,0.08424092084169388,0.12164386361837387
002455,female_0d2e4580,3329,198,1,0,0.12376350164413452,0.07123849540948868,0.13153599202632904
002506,female_0d2e4580,3361,198,1,0,0.07207714766263962,0.06643828004598618,0.21160641312599182
002530,female_0d2e4580,3393,198,1,0,0.14433833956718445,0.10321956872940063,0.15094910562038422
002581,female_0d2e4580,3425,198,1,0,0.08224961906671524,0.06048186123371124,0.12059837579727173
002596,female_0d2e4580,3457,198,1,0,0.11876808106899261,0.06438975036144257,0.16176921129226685
002598,female_0d2e4580,3489,198,1,0,0.0910521075129509,0.07030388712882996,0.15982331335544586
002667,female_0d2e4580,3521,198,1,0,0.08075763285160065,0.05860506370663643,0.1528259962797165
002728,female_0d2e4580,3553,198,1,0,0.10392546653747559,0.07103680819272995,0.1659144163131714
002740,female_0d2e4580,3585,198,1,0,0.15570251643657684,0.09683635085821152,0.16455845534801483
002761,female_0d2e4580,3617,198,1,0,0.12057330459356308,0.07413242012262344,0.1122414618730545
002780,female_0d2e4580,3649,198,1,0,0.09682490676641464,0.06214276701211929,0.13212484121322632
002825,female_0d2e4580,3681,198,1,0,0.15139725804328918,0.10024458169937134,0.16073252260684967
002870,female_0d2e4580,3713,198,1,0,0.13237538933753967,0.07722306996583939,0.13184194266796112
002891,female_0d2e4580,3745,198,1,0,0.18271832168102264,0.098066046833992,0.15141916275024414
002923,female_0d2e4580,3777,198,1,0,0.16970479488372803,0.08087648451328278,0.13807491958141327
003040,female_0d2e4580,3809,198,1,0,0.22661247849464417,0.13045302033424377,0.14977093040943146
003068,female_0d2e4580,3841,198,1,0,0.13717544078826904,0.07312813401222229,0.11601074039936066
003123,female_0d2e4580,3873,198,1,0,0.22676607966423035,0.11908415704965591,0.171037495136261
003124,female_0d2e4580,3905,198,1,0,0.21880513429641724,0.10584071278572083,0.15368041396141052
003147,female_0d2e4580,3937,198,1,0,0.06856882572174072,0.05370521917939186,0.16884979605674744
003178,female_0d2e4580,3969,198,1,0,0.28530430793762207,0.08803240209817886,0.18110786378383636
003182,female_0d2e4580,4001,198,1,0,0.1003841981291771,0.07410336285829544,0.1718861311674118
